Slug,Name,Scientific Name,Type,Min Litres,Min Length Cm,Group Min,Temperament,Zone,Difficulty,Note,Temp Min (°C),Temp Max (°C),pH Min,pH Max,gh Min (dGH),gh Max (dGH),Adult Size Min (cm),Adult Size Max (cm)
betta-fish,Betta fish,Betta splendens,fish,20,45,1,territorial,surface / midwater,beginner,Long fins need gentle flow and tank mates that neither nip nor resemble a rival betta.,24,28,6.0,7.5,3,12,5.0,7.0
freshwater-angelfish,Freshwater angelfish,Pterophyllum scalare,fish,150,90,1,semi-aggressive,midwater,intermediate,Tall adults establish territories and may regard very small tetras or fry as prey.,24,30,6.0,7.5,3,12,12.0,15.0
guppy,Guppy,Poecilia reticulata,fish,40,45,3,peaceful,surface / midwater,beginner,Hard-water livebearers breed readily; plan for fry or keep a single-sex group.,22,28,7.0,8.2,8,25,3.0,6.0
endlers-livebearer,Endler's livebearer,Poecilia wingei,fish,35,45,6,peaceful,surface / midwater,beginner,Small but constantly active; males show best colour in a planted hard-water aquarium.,22,28,7.0,8.2,10,30,2.0,4.0
platy,Platy,Xiphophorus maculatus,fish,60,60,3,peaceful,midwater,beginner,A social livebearer that prefers mineral-rich water and produces frequent broods.,20,26,7.0,8.2,10,30,4.0,7.0
molly,Molly,Poecilia sphenops,fish,75,75,3,peaceful,midwater,intermediate,"Mollies need stable, mineral-rich water and more swimming room than their shop size suggests.",24,28,7.2,8.5,12,30,6.0,10.0
swordtail,Swordtail,Xiphophorus hellerii,fish,100,90,3,active,midwater,beginner,Powerful swimmers and persistent males make tank length and a female-biased group important.,22,28,7.0,8.3,10,30,10.0,14.0
neon-tetra,Neon tetra,Paracheirodon innesi,fish,60,60,8,peaceful,midwater,beginner,A proper shoal and subdued planting reduce stress; avoid large predatory centrepiece fish.,20,26,5.0,7.5,1,10,3.0,4.0
cardinal-tetra,Cardinal tetra,Paracheirodon axelrodi,fish,75,75,8,peaceful,midwater,intermediate,"Warm, soft water and a large shoal suit this Amazonian tetra better than a sparse mixed tank.",24,30,4.5,7.0,1,8,4.0,5.0
ember-tetra,Ember tetra,Hyphessobrycon amandae,fish,45,45,10,peaceful,midwater,beginner,Tiny and gentle; keep a generous group with similarly calm nano species.,23,29,5.0,7.0,1,10,1.5,2.0
rummy-nose-tetra,Rummy-nose tetra,Hemigrammus bleheri,fish,100,90,8,peaceful,midwater,intermediate,"Tight schooling behaviour needs long open water and excellent, stable water quality.",24,30,5.0,7.5,1,10,4.0,5.0
glowlight-tetra,Glowlight tetra,Hemigrammus erythrozonus,fish,60,60,8,peaceful,midwater,beginner,Dark substrate and a group of eight or more bring out confident colour and movement.,24,28,5.5,7.5,2,15,3.0,4.0
black-skirt-tetra,Black skirt tetra,Gymnocorymbus ternetzi,fish,75,75,8,boisterous,midwater,beginner,"A larger school disperses fin-nipping, but long-finned companions remain a poor choice.",20,27,6.0,8.0,4,18,5.0,6.0
black-neon-tetra,Black neon tetra,Hyphessobrycon herbertaxelrodi,fish,72,80,8,peaceful,midwater,beginner,"A mature planted aquarium, open swimming room and a group of eight or more suit this distinct species—not a black form of the neon tetra.",20,28,5.0,7.5,1,12,3.0,4.0
lemon-tetra,Lemon tetra,Hyphessobrycon pulchripinnis,fish,72,80,8,peaceful,midwater,beginner,"A broad group, subdued cover and clean stable water help the translucent yellow colour and red eye show clearly.",20,28,5.0,7.5,1,12,3.5,4.0
serpae-tetra,Serpae tetra,Hyphessobrycon eques,fish,75,80,10,boisterous fin-nipper,midwater,intermediate,"Keep a large group to spread chasing, and exclude slow or long-finned companions that invite persistent nipping.",22,27,5.5,7.5,5,20,4.0,5.0
congo-tetra,Congo tetra,Phenacogrammus interruptus,fish,150,100,8,peaceful and active,midwater,intermediate,"A long aquarium, a substantial shoal and calm companions protect the species' flowing fins and confident movement.",23,28,6.0,7.5,3,18,6.0,9.0
harlequin-rasbora,Harlequin rasbora,Trigonostigma heteromorpha,fish,60,60,8,peaceful,midwater,beginner,A reliable community shoaler that benefits from shaded planting and a broad group.,23,28,5.0,7.5,1,12,4.0,5.0
chili-rasbora,Chili rasbora,Boraras brigittae,fish,35,45,10,peaceful,surface / midwater,intermediate,"Its minute size calls for mature nano tanks, gentle filtration and no predatory tank mates.",22,28,4.0,7.0,1,8,1.5,2.0
celestial-pearl-danio,Celestial pearl danio,Danio margaritatus,fish,45,45,8,shy,midwater,intermediate,Dense plants and more females than males reduce sparring and draw this shy fish into view.,20,26,6.5,7.8,4,15,2.0,2.5
zebra-danio,Zebra danio,Danio rerio,fish,60,75,8,very active,surface / midwater,beginner,"Fast, cool-water swimming and playful chasing can unsettle slow or long-finned fish.",18,26,6.5,8.0,5,20,4.0,5.0
pearl-danio,Pearl danio,Danio albolineatus,fish,75,90,8,active,surface / midwater,beginner,A long aquarium and a substantial school are more important than extra height.,20,26,6.0,8.0,5,20,5.0,6.0
white-cloud-mountain-minnow,White cloud mountain minnow,Tanichthys albonubes,fish,45,60,8,peaceful,surface / midwater,beginner,This subtropical shoaler is often kept too warm; avoid permanently tropical temperatures.,16,24,6.0,8.0,5,20,3.0,4.0
cherry-barb,Cherry barb,Puntius titteya,fish,60,60,8,peaceful,midwater,beginner,A planted tank and a mixed-sex group bring calmer behaviour and richer male colour.,22,27,6.0,8.0,5,20,4.0,5.0
tiger-barb,Tiger barb,Puntigrus tetrazona,fish,100,90,10,boisterous,midwater,intermediate,"Keep a large group to spread aggression and exclude slow, timid and long-finned tank mates.",22,28,6.0,8.0,5,20,6.0,8.0
rosy-barb,Rosy barb,Pethia conchonius,fish,100,100,8,active,midwater,beginner,A robust subtropical barb needing a long tank and cooler water than many tropical communities.,18,25,6.0,8.0,5,20,10.0,15.0
gold-barb,Gold barb,Barbodes semifasciolatus,fish,90,90,8,active,midwater,beginner,"Best in a well-planted, cooler community with open space for a lively school.",18,26,6.0,8.0,5,20,6.0,8.0
bronze-corydoras,Bronze corydoras,Corydoras aeneus,fish,75,75,6,peaceful,bottom,beginner,"A group on fine, clean substrate can forage naturally without damaging sensitive barbels.",22,28,6.0,8.0,2,20,6.0,8.0
panda-corydoras,Panda corydoras,Corydoras panda,fish,75,75,6,peaceful,bottom,intermediate,"Cooler water, good oxygenation and a group of six or more are central to long-term care.",20,25,6.0,7.5,2,12,5.0,6.0
pygmy-corydoras,Pygmy corydoras,Corydoras pygmaeus,fish,45,60,8,peaceful,bottom / midwater,intermediate,Unlike larger corys this tiny species also hovers midwater; small peaceful companions are essential.,22,26,6.0,7.5,2,15,2.5,3.0
peppered-corydoras,Peppered corydoras,Corydoras paleatus,fish,75,80,6,peaceful,bottom,beginner,"This cooler-water cory needs a group, clean soft substrate and well-oxygenated water rather than permanently high tropical temperatures.",18,26,6.0,8.0,5,19,5.0,7.0
sterbai-corydoras,Sterbai corydoras,Corydoras sterbai,fish,75,80,6,peaceful,bottom,intermediate,"One of the warmer-water Corydoras, but it still needs a group of six or more, fine substrate and reliable oxygenation.",24,30,6.0,7.5,2,10,6.0,7.0
kuhli-loach,Kuhli loach,Pangio kuhlii,fish,75,75,6,peaceful,bottom,intermediate,"A soft substrate, many tight hides and a social group help these nocturnal loaches emerge.",24,30,5.5,7.5,1,12,8.0,12.0
yoyo-loach,Yoyo loach,Botia almorhae,fish,180,120,5,boisterous,bottom,intermediate,"Social hierarchy, adult size and high activity make a group in a long tank mandatory.",24,30,6.0,8.0,5,15,12.0,16.0
clown-loach,Clown loach,Chromobotia macracanthus,fish,450,180,5,social,bottom,advanced,"Often sold small, this long-lived giant needs a very large aquarium and a proper group.",25,30,5.0,8.0,5,15,25.0,35.0
hillstream-loach,Hillstream loach,Sewellia lineolata,fish,75,75,3,peaceful,bottom,intermediate,"High dissolved oxygen, strong flow and mature biofilm matter more than a conventional tropical setup.",20,25,6.5,8.0,5,15,5.0,6.0
bristlenose-pleco,Bristlenose pleco,Ancistrus cirrhosus,fish,100,80,1,territorial,bottom,beginner,"Provide real wood, caves and a varied diet; algae alone is neither enough food nor a clean-up plan.",22,28,6.0,7.8,3,15,10.0,14.0
common-pleco,Common pleco,Hypostomus plecostomus,fish,450,180,1,territorial,bottom,advanced,The common name covers very large loricariids that quickly outgrow ordinary home aquariums.,22,30,6.0,8.0,5,20,30.0,50.0
otocinclus-catfish,Otocinclus catfish,Otocinclus vittatus,fish,75,75,6,peaceful,all surfaces,intermediate,Add only to a mature aquarium with natural biofilm and supplement its specialised grazing diet.,22,27,5.5,7.5,2,15,3.0,5.0
pictus-catfish,Pictus catfish,Pimelodus pictus,fish,200,120,3,predatory,bottom / midwater,intermediate,A fast nocturnal predator able to swallow small companions; allow long unobstructed swimming space.,22,28,6.0,8.0,5,18,12.0,15.0
siamese-algae-eater,Siamese algae eater,Crossocheilus oblongus,fish,200,120,6,active social grazer,bottom / midwater,intermediate,"Trade names are unreliable: confirm the unbroken black stripe and clear fins, then provide a long, oxygen-rich aquarium and a proper diet beyond algae.",23,27,6.0,8.0,3,20,12.0,16.0
flying-fox,Flying fox,Epalzeorhynchos kalopterum,fish,250,120,1,territorial,bottom / midwater,advanced,"Often confused with the Siamese algae eater, this territorial adult is best kept singly with ample floor space, current and visual barriers.",24,26,6.0,7.5,5,12,12.0,15.0
dwarf-gourami,Dwarf gourami,Trichogaster lalius,fish,60,60,1,territorial,surface / midwater,intermediate,"Choose healthy stock, provide surface cover and avoid combining multiple males in cramped quarters.",24,28,6.0,7.5,3,15,7.0,9.0
honey-gourami,Honey gourami,Trichogaster chuna,fish,60,60,1,peaceful,surface / midwater,beginner,"Gentle companions, floating cover and calm flow suit this shy labyrinth fish.",23,28,6.0,7.5,3,15,4.0,5.0
pearl-gourami,Pearl gourami,Trichopodus leerii,fish,120,90,1,peaceful,surface / midwater,intermediate,"A calm, planted tank with open surface access suits adults better than a boisterous community.",24,30,5.5,8.0,3,15,10.0,12.0
boesemani-rainbowfish,Boesemani rainbowfish,Melanotaenia boesemani,fish,200,120,8,peaceful and very active,midwater,intermediate,"This endangered-in-the-wild shoaler needs hard alkaline water, a long open swimming lane and responsibly sourced captive-bred stock.",27,30,7.0,8.0,9,19,7.0,11.0
german-blue-ram,German blue ram,Mikrogeophagus ramirezi,fish,75,60,1,territorial,bottom / midwater,advanced,"Sustained warmth and exceptionally clean, stable water narrow the list of appropriate companions.",27,31,5.0,7.0,1,10,5.0,7.0
bolivian-ram,Bolivian ram,Mikrogeophagus altispinosus,fish,90,75,1,territorial,bottom / midwater,intermediate,"A comparatively robust dwarf cichlid, though pairs still defend a spawning patch.",23,28,6.0,7.8,2,15,7.0,9.0
apistogramma-group,Apistogramma group,Apistogramma spp.,group,75,60,1,territorial,bottom,advanced,"This is a genus-level overview: exact water, social and harem needs differ substantially by species.",23,29,4.5,7.2,1,10,4.0,9.0
discus,Discus,Symphysodon aequifasciatus,fish,300,120,6,social,midwater,advanced,"Large groups, high temperature and very clean water make discus a specialist commitment.",28,31,5.0,7.0,1,10,15.0,20.0
oscar,Oscar,Astronotus ocellatus,fish,300,120,1,aggressive,midwater,advanced,"Powerful, messy and predatory, an oscar needs robust filtration and carefully selected large companions.",23,28,6.0,8.0,5,20,30.0,35.0
electric-blue-acara,Electric blue acara,Andinoacara pulcher,fish,150,100,1,semi-aggressive,midwater / bottom,intermediate,"Usually measured for a cichlid, but breeding pairs defend territory and can eat small fish.",23,28,6.0,8.0,5,20,12.0,16.0
